基金代码,基金周增长,基金月增长,基金3月增长,基金6月增长,基金年增长,最大回撤,收益波动率,基金6月增长排名,基金年增长排名,最大回撤排名,总平均排名
008619,0.0531643081761006,0.0531643081761006,0.0531643081761006,0.0531643081761006,0.0531643081761006,0.3384,0.0105,318.0,318.0,845.5,493.8333333333333
008135,0.0563679646318653,0.0563679646318653,0.0563679646318653,0.0563679646318653,0.0563679646318653,0.3519,0.0148,259.0,259.0,963.5,493.8333333333333
009695,0.05631465937927,0.05631465937927,0.05631465937927,0.05631465937927,0.05631465937927,0.3519,0.0151,262.0,262.0,963.5,495.8333333333333
164205,0.0505295675198587,0.0505295675198587,0.0505295675198587,0.0505295675198587,0.0505295675198587,0.3285,0.0142,365.0,365.0,758.0,496.0
161838,0.0355762673334848,0.0355762673334848,0.0355762673334848,0.0355762673334848,0.0355762673334848,0.2214,0.0418,640.0,640.0,211.5,497.1666666666667
006926,0.0654670214255707,0.0654670214255707,0.0654670214255707,0.0654670214255707,0.0654670214255707,0.3807,0.0115,130.0,130.0,1239.0,499.6666666666667
007110,0.0638040852185372,0.0638040852185372,0.0638040852185372,0.0638040852185372,0.0638040852185372,0.3788,0.0093,145.0,145.0,1215.5,501.8333333333333
005335,0.0845313753316468,0.0845313753316468,0.0845313753316468,0.0845313753316468,0.0845313753316468,0.4051,0.0129,24.0,24.0,1472.0,506.6666666666667
009696,0.0566636895901557,0.0566636895901557,0.0566636895901557,0.0566636895901557,0.0566636895901557,0.3582,0.015,254.0,254.0,1016.0,508.0
010536,0.0699044377536326,0.0699044377536326,0.0699044377536326,0.0699044377536326,0.0699044377536326,0.395,0.0159,79.0,79.0,1371.0,509.6666666666667
001882,0.0479133991450626,0.0479133991450626,0.0479133991450626,0.0479133991450626,0.0479133991450626,0.3204,0.0052,419.0,419.0,694.5,510.8333333333333
011081,0.0639027086788281,0.0639027086788281,0.0639027086788281,0.0639027086788281,0.0639027086788281,0.3821,0.0148,143.0,143.0,1253.5,513.1666666666666
004937,0.0550143266475644,0.0550143266475644,0.0550143266475644,0.0550143266475644,0.0550143266475644,0.3506,0.0066,294.0,294.0,953.0,513.6666666666666
005632,0.0394682176983796,0.0394682176983796,0.0394682176983796,0.0394682176983796,0.0394682176983796,0.2703,0.0125,578.0,578.0,389.0,515.0
009636,0.0479463825399553,0.0479463825399553,0.0479463825399553,0.0479463825399553,0.0479463825399553,0.3229,0.013,418.0,418.0,710.5,515.5
001628,0.0774539877300613,0.0774539877300613,0.0774539877300613,0.0774539877300613,0.0774539877300613,0.405,0.0149,40.0,40.0,1470.0,516.6666666666666
006157,0.0506052664420316,0.0506052664420316,0.0506052664420316,0.0506052664420316,0.0506052664420316,0.3379,0.0102,364.0,364.0,837.0,521.6666666666666
010022,0.0695173137460651,0.0695173137460651,0.0695173137460651,0.0695173137460651,0.0695173137460651,0.401,0.011,86.0,86.0,1425.5,532.5
008809,0.039402581807265,0.039402581807265,0.039402581807265,0.039402581807265,0.039402581807265,0.2802,0.0093,581.0,581.0,435.5,532.5
005104,0.0485247726850992,0.0485247726850992,0.0485247726850992,0.0485247726850992,0.0485247726850992,0.3334,0.0112,407.0,407.0,791.5,535.1666666666666
008185,0.047978676143936,0.047978676143936,0.047978676143936,0.047978676143936,0.047978676143936,0.331,0.0124,417.0,417.0,771.5,535.1666666666666
070006,0.0485330073349633,0.0485330073349633,0.0485330073349633,0.0485330073349633,0.0485330073349633,0.3335,0.0114,406.0,406.0,793.5,535.1666666666666
009240,0.0628669771208747,0.0628669771208747,0.0628669771208747,0.0628669771208747,0.0628669771208747,0.3849,0.0117,162.0,162.0,1284.5,536.1666666666666
005105,0.0484751506024095,0.0484751506024095,0.0484751506024095,0.0484751506024095,0.0484751506024095,0.3334,0.0112,409.0,409.0,791.5,536.5
011717,0.0324077981264241,0.0324077981264241,0.0324077981264241,0.0324077981264241,0.0324077981264241,0.2166,0.0169,708.0,708.0,195.0,537.0
004936,0.0549715111146778,0.0549715111146778,0.0549715111146778,0.0549715111146778,0.0549715111146778,0.3586,0.0067,297.0,297.0,1020.0,538.0
009243,0.0348343245539508,0.0348343245539508,0.0348343245539508,0.0348343245539508,0.0348343245539508,0.2559,0.0117,655.0,655.0,319.5,543.1666666666666
011113,0.0634591035705242,0.0634591035705242,0.0634591035705242,0.0634591035705242,0.0634591035705242,0.3906,0.0169,151.0,151.0,1332.5,544.8333333333334
000646,0.038130923517743,0.038130923517743,0.038130923517743,0.038130923517743,0.038130923517743,0.2812,0.0069,598.0,598.0,442.5,546.1666666666666
011181,0.0458063697500317,0.0458063697500317,0.0458063697500317,0.0458063697500317,0.0458063697500317,0.3224,0.0171,466.0,466.0,707.0,546.3333333333334
009326,0.0320701534606952,0.0320701534606952,0.0320701534606952,0.0320701534606952,0.0320701534606952,0.2214,0.0045,715.0,715.0,211.5,547.1666666666666
011824,0.0390400353904003,0.0390400353904003,0.0390400353904003,0.0390400353904003,0.0390400353904003,0.2836,0.0141,592.0,592.0,459.0,547.6666666666666
010026,0.0565544456776421,0.0565544456776421,0.0565544456776421,0.0565544456776421,0.0565544456776421,0.3704,0.013,256.0,256.0,1131.0,547.6666666666666
008116,0.0471729306734265,0.0471729306734265,0.0471729306734265,0.0471729306734265,0.0471729306734265,0.3329,0.0088,434.0,434.0,786.5,551.5
001277,0.0510440835266821,0.0510440835266821,0.0510440835266821,0.0510440835266821,0.0510440835266821,0.3499,0.0157,354.0,354.0,946.5,551.5
011825,0.0391328515842134,0.0391328515842134,0.0391328515842134,0.0391328515842134,0.0391328515842134,0.2858,0.0142,590.0,590.0,479.0,553.0
007827,0.0382089552238805,0.0382089552238805,0.0382089552238805,0.0382089552238805,0.0382089552238805,0.2841,0.0068,597.0,597.0,465.5,553.1666666666666
008261,0.0555653866572287,0.0555653866572287,0.0555653866572287,0.0555653866572287,0.0555653866572287,0.3669,0.0108,279.0,279.0,1104.0,554.0
011182,0.0459020585602863,0.0459020585602863,0.0459020585602863,0.0459020585602863,0.0459020585602863,0.3262,0.0175,462.0,462.0,741.0,555.0
009242,0.0347652959644688,0.0347652959644688,0.0347652959644688,0.0347652959644688,0.0347652959644688,0.2622,0.0119,656.0,656.0,355.0,555.6666666666666
010457,0.0337104864108247,0.0337104864108247,0.0337104864108247,0.0337104864108247,0.0337104864108247,0.2572,0.0112,671.0,671.0,329.0,557.0
012449,0.0270482310307468,0.0270482310307468,0.0270482310307468,0.0270482310307468,0.0270482310307468,0.1196,0.0093,806.0,806.0,60.0,557.3333333333334
010458,0.0337711069418387,0.0337711069418387,0.0337711069418387,0.0337711069418387,0.0337711069418387,0.2602,0.0114,668.0,668.0,342.0,559.3333333333334
011635,0.0328954754687324,0.0328954754687324,0.0328954754687324,0.0328954754687324,0.0328954754687324,0.25,0.0136,693.0,693.0,293.0,559.6666666666666
008303,0.0619810201660735,0.0619810201660735,0.0619810201660735,0.0619810201660735,0.0619810201660735,0.3906,0.0151,175.0,175.0,1332.5,560.8333333333334
011636,0.0330055386006555,0.0330055386006555,0.0330055386006555,0.0330055386006555,0.0330055386006555,0.2524,0.0138,690.0,690.0,305.0,561.6666666666666
008277,0.0663297045101088,0.0663297045101088,0.0663297045101088,0.0663297045101088,0.0663297045101088,0.4032,0.0135,122.0,122.0,1447.0,563.6666666666666
008262,0.0557557196901457,0.0557557196901457,0.0557557196901457,0.0557557196901457,0.0557557196901457,0.3724,0.0107,273.0,273.0,1147.5,564.5
010313,0.0555974571705634,0.0555974571705634,0.0555974571705634,0.0555974571705634,0.0555974571705634,0.3715,0.0139,278.0,278.0,1141.5,565.8333333333334
010755,0.05041813113562,0.05041813113562,0.05041813113562,0.05041813113562,0.05041813113562,0.3524,0.0167,369.0,369.0,969.0,569.0
008319,0.0469497834840082,0.0469497834840082,0.0469497834840082,0.0469497834840082,0.0469497834840082,0.3366,0.0114,443.0,443.0,823.0,569.6666666666666
009564,0.0695080427380533,0.0695080427380533,0.0695080427380533,0.0695080427380533,0.0695080427380533,0.4113,0.0126,87.0,87.0,1535.5,569.8333333333334
910024,0.0333018511522478,0.0333018511522478,0.0333018511522478,0.0333018511522478,0.0333018511522478,0.2605,0.0119,683.0,683.0,344.5,570.1666666666666
009601,0.0579674697321756,0.0579674697321756,0.0579674697321756,0.0579674697321756,0.0579674697321756,0.3812,0.0138,235.0,235.0,1242.5,570.8333333333334
011186,0.0625588591416655,0.0625588591416655,0.0625588591416655,0.0625588591416655,0.0625588591416655,0.3957,0.0209,169.0,169.0,1375.0,571.0
011906,0.0270843373493976,0.0270843373493976,0.0270843373493976,0.0270843373493976,0.0270843373493976,0.1755,0.0164,804.0,804.0,107.0,571.6666666666666
005264,0.0442855673284641,0.0442855673284641,0.0442855673284641,0.0442855673284641,0.0442855673284641,0.3244,0.0096,495.0,495.0,725.0,571.6666666666666
850088,0.0325840574234982,0.0325840574234982,0.0325840574234982,0.0325840574234982,0.0325840574234982,0.2527,0.0121,703.0,703.0,309.0,571.6666666666666
011905,0.0270659372300604,0.0270659372300604,0.0270659372300604,0.0270659372300604,0.0270659372300604,0.1753,0.0164,805.0,805.0,106.0,572.0
008304,0.0622356495468277,0.0622356495468277,0.0622356495468277,0.0622356495468277,0.0622356495468277,0.3959,0.0154,170.0,170.0,1376.0,572.0
